Family,MaxSpread,BestItem,BestDesc,BestPurity,BestPrice,BestUnitVal,WorstDesc,WorstUnitVal
Dyna Flo,1428254.9030927836,DYNA FLO HUMIC ACID 18% (FLAT) ,Dyna Flo Humic Acid 18%  (Flat)                                                                      ,18.0,0.1455,0.008083333333333333,Dyna Flo 28-0-0 5%S                                                                                  ,115.45868800000001
Dyna Gro,66034.02244245427,GROCA00                        ,Dyna Gro Calcium 11%  /  LiquiLizer Calcium 11% / JRM Cal Nite                                       ,11.0,1.31982,0.11998363636363636,Dyna Gro Magnesium 6%                                                                                ,79.350005
Threshold,48523.47879465708,AGBTH24005B250                 ,Threshold 24-0-0 25%SRN .5%B                                                                         ,25.0,3.13708,0.12548320000000002,Threshold 7% Liq Manganese / Dyna Green Mn 7%                                                        ,61.01429714285714
Unknown,17139.46987951807,18-3-6 50% SLOW RELEASE NIT    ,18-3-6  50% Slow Release Nitrogen                                                                    ,50.0,0.2075,0.00415,4 Ever Green Manganese 5%                                                                            ,0.715438
Dyna Green,6675.756364121017,GREZN1000#                     ,Dyna Green Zinc 10%                                                                                  ,10.0,0.15006,0.015006,Dyna Green Copper 5% / Dyna Green Organics Copper 5% / Agri Plex Copper 5%                           ,1.01677
Phosphoric Acid,4304.00425531915,NPKPHOS85                      ,Phosphoric Acid 85%                                                                                  ,85.0,0.47,0.005529411764705882,Phosphoric Acid 85%                                                                                  ,0.24351552941176471
Dyna Cal,3609.6774193548385,DYNA CAL 10.25%  (FLAT)        ,Dyna Cal 10.25%  (Flat)                                                                              ,10.25,0.1457,0.014214634146341464,Dyna Cal 10.25%                                                                                      ,0.5273170731707317
Agri Plex,3018.16924778761,AGBAPFE00#                     ,Agri Plex Iron 5%                                                                                    ,5.0,0.10848,0.021696,Agri Plex Manganese 5%                                                                               ,0.676518
Dyna Gold,2386.8308826038005,GOLDCA30                       ,Dyna Gold Calcium 8.25% / Threshold Calcium / Neutra Soil / Grizzly Fortitude / Green CaLite         ,8.25,0.87933,0.10658545454545454,Dyna Gold Molybdate 5%                                                                               ,2.6506
Agri Starter,2136.0515873015875,AGBASFE00#                     ,Agri Starter Iron 5%                                                                                 ,5.0,0.1008,0.02016,Agri Starter Zinc 10%                                                                                ,0.450788
Huvic Acid,781.0253273432172,GRPHUVIC                       ,Huvic Acid (Humic Acid 15.7% Fulvic Acid 8.3%)                                                       ,15.7,0.48111,0.030643949044585988,Huvic Acid 21%                                                                                       ,0.2699809523809524
Iron Sulfate,490.98455918977254,SO4FEDRY30                     ,Iron Sulfate 30%                                                                                     ,30.0,0.02536,0.0008453333333333334,Iron Sulfate 19%                                                                                     ,0.00499578947368421
Dyna Pro,431.94962718620064,PROFE05                        ,Dyna Pro Iron 6%                                                                                     ,6.0,2.9103,0.48505,Dyna Pro Manganese EDTA 6%                                                                           ,2.5802216666666666
Aqua Ammonia,158.2944099378882,NPKAQUA18                      ,Aqua Ammonia 18%                                                                                     ,18.0,0.07,0.003888888888888889,Aqua Ammonia 23%                                                                                     ,0.010044782608695653
Calcium Nitrate,138.95911031608077,NO3CAMIC                       ,Calcium Nitrate 11.8%Ca                                                                              ,11.8,0.10774,0.009130508474576271,Calcium Nitrate 11% 50 lb. Bags                                                                      ,0.021818181818181816
JRM Kick,94.33681099091378,JRMKICK55                      ,JRM Kick 18-3-6 50% Slow Release                                                                     ,50.0,5.71745,0.114349,JRM Kick 18-3-6 50% Slow Release                                                                     ,0.2222222
Dyna Boron,85.54714058651632,GOLDBOR1005                    ,Dyna Boron 10% / Liquid Boron 10% / Agri Plex Boron 10% / Pro-B 10                                   ,10.0,4.44182,0.44418199999999997,Dyna Boron 10% / Liquid Boron 10% / Agri Plex Boron 10% / Pro-B 10                                   ,0.8241669999999999
Calcium Chloride,59.83970588235293,CL2CALIQ                       ,Calcium Chloride Liquid 12.3% - order 38%                                                            ,12.3,0.096,0.007804878048780488,Calcium Chloride Dry 34% Anyhydrous                                                                  ,0.012475294117647058
Nickel Sulfate,54.96529043179764,SO4NILIQ                       ,Nickel Sulfate 10%                                                                                   ,10.0,1.23728,0.12372799999999999,Nickel Sulfate 22%                                                                                   ,0.19173545454545457
Morwet D-,49.272734439670444,SURFMORWET00                   ,Morwet D-425 43% CONSIGNMENT CODE                                                                    ,43.0,1.01476,0.023599069767441864,Morwet D-425 43%                                                                                     ,0.035226976744186046
