Item,Description,Volume,Spend,Potential Sources
NPKKNO3                        ,Potassium Nitrate Soluble                                                                            ,-3955928715485380608,3479310.61,"Biomass Ash, Cement Kiln Dust (Potash)"
NPKU32                         ,Urea Ammonium Nitrate 32%                                                                            ,-2637285810323587072,1268423.11,"Coal Gasification, Diesel Exhaust Fluid (DEF) Makers"
NO3CA                          ,Calcium Nitrate 11% / CN9                                                                            ,-7137023757261209600,1219116.99,"Acetylene Production, Paper Mills"
NPKPHOS85                      ,Phosphoric Acid 85%                                                                                  ,-8061121526290448384,1145817.73,"Fertilizer Plants, Metal Pickling (Steel), Phosphate Mining, Semiconductor Etching, Steel Coating (Phosphating)"
NO3ZN                          ,Zinc Nitrate 17%                                                                                     ,890345894838206464,975157.54,"Brass Mills, Electric Arc Furnace Dust, Galvanizing Plants (Dross/Skimmings)"
NPKKCL62                       ,Muriate of Potash                                                                                    ,4764514263385964544,846831.21,"Biomass Power Plants, Incinerators"
REC-NPKPHOS85                  ,Phosphoric Acid 85% - receiving to be diluted                                                        ,774833673709551616,734766.6799999999,"Fertilizer Plants, Metal Pickling (Steel), Phosphate Mining, Semiconductor Etching, Steel Coating (Phosphating)"
NO3MG60                        ,Magnesium Nitrate 6%                                                                                 ,-1862452136614035456,632179.6,"Desalination Plants (Bitterns), Potash Mining"
REC-NO3MN                      ,Manganese Nitrate Solution - Receiving item for dilution                                             ,-8061121526290448384,605326.59,"Battery Recycling, Steel Mills"
REC-NO3FE                      ,Iron Nitrate Solution - receiving to be diluted                                                      ,-4302465378871345152,520890.7,"Scrap Metal Recyclers, Steel Mills (Pickling Lines), Titanium Dioxide Production (Copperas)"
SO4BORIC                       ,Boric Acid - 17.4%  Dry                                                                              ,4533489821128654848,518141.31,"Fertilizer Plants, Metal Pickling (Steel), Semiconductor Etching"
MRCCCN110                      ,Copper Count N                                                                                       ,2324501021128654848,353671.82,"Circuit Board Etching (Spent Etchant), Plating Shops"
NPKKOHDRY                      ,Potassium Hydroxide KOH Dry 90%                                                                      ,5967644947419103232,335490.28,"Biomass Ash, Cement Kiln Dust (Potash)"
GRPHUMICLIQ                    ,Humic Acid Liquid-Borresol 22%                                                                       ,5967644947419103232,295227.94,"Fertilizer Plants, Metal Pickling (Steel), Semiconductor Etching"
EDTAFEHE                       ,Iron HEDTA 4.5% Liquid                                                                               ,-8835955200000000000,269296.05,"Scrap Metal Recyclers, Steel Mills (Pickling Lines), Titanium Dioxide Production (Copperas)"
NPKKTS                         ,Potassium Thiosulfate 0-0-25 17 KTS                                                                  ,-7286287852580896768,262127.84,"Battery Recycling, Biomass Ash, Cement Kiln Dust (Potash), Viscose Rayon Production"
NO3CA12                        ,Calcium Nitrate 12%                                                                                  ,-543809231452241920,253676.2,"Acetylene Production, Paper Mills"
NO3CA                          ,Calcium Nitrate 11%                                                                                  ,-543809231452241920,251630.84,"Acetylene Production, Paper Mills"
NO3CU                          ,Copper Nitrate 14%                                                                                   ,5192811273709551616,245872.8,"Circuit Board Etching (Spent Etchant), Plating Shops"
NPKUREA                        ,Urea Dry  46% 1 Ton Bags                                                                             ,6742478621128654848,218284.24,"Coal Gasification, Diesel Exhaust Fluid (DEF) Makers"
EDTAACID                       ,EDTA Acid 100% Dry                                                                                   ,5192811273709551616,177983.58000000002,"Fertilizer Plants, Metal Pickling (Steel), Semiconductor Etching"
REC-NO3CU                      ,Copper Nitrate Solution - Receiving item for dilution                                                ,-8835955200000000000,174510.0,"Circuit Board Etching (Spent Etchant), Plating Shops"
NO3FE                          ,Iron Nitrate 10%                                                                                     ,774833673709551616,168067.2,"Scrap Metal Recyclers, Steel Mills (Pickling Lines), Titanium Dioxide Production (Copperas)"
SO4MN32                        ,manganese sulfate 32%                                                                                ,-3643143926290448384,157819.12,"Battery Recycling, Steel Mills, Viscose Rayon Production"
GRPFULVIC                      ,Fulvic Acid Liquid 30%                                                                               ,-8835955200000000000,147945.54,"Fertilizer Plants, Metal Pickling (Steel), Semiconductor Etching"
MRCCCN110                      ,Copper Count N - consignment only                                                                    ,774833673709551616,143997.96,"Circuit Board Etching (Spent Etchant), Plating Shops"
CHECITRIC                      ,Citric Acid                                                                                          ,-6626966400000000000,132724.8,"Corn Fermentation (Cargill/ADM), Ethanol Plants, Fertilizer Plants, Metal Pickling (Steel), Semiconductor Etching"
NO3MN                          ,Manganese Nitrate 15                                                                                 ,774833673709551616,128175.0,"Battery Recycling, Steel Mills"
GRPLISIK                       ,LisiK Amino Acids                                                                                    ,774833673709551616,118631.34,"Fertilizer Plants, Metal Pickling (Steel), Semiconductor Etching"
MRCCCTANK                      ,Copper Count N  - Offsite   (274 gal per tote)                                                       ,-4417977600000000000,113682.6,"Circuit Board Etching (Spent Etchant), Plating Shops"
NO3MG63                        ,Magnesium Nitrate 6.3%                                                                               ,-8061121526290448384,106941.2,"Desalination Plants (Bitterns), Potash Mining"
NPKACEK                        ,Potassium Acetate 0-0-29                                                                             ,5192811273709551616,101563.76,"Biomass Ash, Cement Kiln Dust (Potash)"
GRPTRAINER                     ,Trainer Amino Acids                                                                                  ,2983822473709551616,93536.0,"Fertilizer Plants, Metal Pickling (Steel), Semiconductor Etching"
